Job Title,Type of Job,Company Name,Location,Salary,Job Description,Job Requirement,Company Website,Link to Apply
Frontend Developer,Full-time / Remote,Moniepoint Incorporated,Lagos (Remote),Not disclosed,Build and maintain React-based interfaces for Moniepoint's fintech products.,"5+ years professional software engineering experience, strong frontend focus, BSc/MSc Computer Science or related field",moniepoint.com,https://www.hotnigerianjobs.com/role/1121/
Backend Developer,Full-time / Remote,Moniepoint Incorporated,Lagos (Remote),Not disclosed,Design and maintain backend systems and services supporting Moniepoint's payment infrastructure.,"5+ years professional software engineering experience with a strong backend focus, BSc/MSc Computer Science, Engineering or related field",moniepoint.com,https://www.hotnigerianjobs.com/role/440/
UI/UX Designer,Full-time / Remote,Moniepoint Incorporated,Lagos (Remote),Not disclosed,Lead product design work with a strong UX focus across Moniepoint's fintech products.,"3+ years in a senior product design role, demonstrated ability to lead impactful design projects",moniepoint.com,https://www.hotnigerianjobs.com/hotjobs/932132/senior-product-designer-ux-at-moniepoint-incorpora.html
Product Manager,Full-time,FairMoney,Lagos,Not disclosed,"Own the product vision and roadmap for merchant onboarding, aligned with FairMoney's growth objectives.",Proven experience launching digital onboarding or transaction products; familiarity with Nigerian financial regulations,fairmoney.io,https://ng.indeed.com/q-product-manager-jobs.html
Data Analyst,Full-time / Hybrid,Kuda Bank,Lagos (Hybrid),Not disclosed,Support credit decisioning through data analysis for Kuda's lending products.,"3+ years as a Quantitative or Data Analyst in fintech, financial services, or e-commerce; strong maths/statistics background",kuda.com,https://www.hotnigerianjobs.com/hotjobs/932923/data-analyst-credit-hybrid-at-kuda-bank.html
Mobile Developer,Full-time,Sage Grey Technologies Limited,Lagos,Not disclosed,Build and maintain cross-platform mobile applications using React Native and Expo.,Strong hands-on experience building mobile applications with React Native,Not publicly listed,https://www.hotnigerianjobs.com/role/437/
QA Engineer,Full-time,Carlcare Development Nigeria Limited,"Ikeja, Lagos",Not disclosed,Test and localize software products for the Nigerian market as part of the QA function.,"BSc in Computer Science or related field, 2+ years of software testing experience",carlcare.com,https://www.hotnigerianjobs.com/field/273/
DevOps Engineer,Full-time,EasyPay International,"Port Harcourt, Rivers State",Not disclosed,Support DevOps and network engineering for a fintech POS and payment systems environment.,"4-8 years of experience in DevOps, network engineering, or fintech infrastructure; BSc in Computer Science, Engineering or related field",Not publicly listed,https://www.hotnigerianjobs.com/role/449/
Customer Success,Full-time,SureGifts,Lagos,Not disclosed,Provide customer support and manage customer success outcomes for internal and external customers.,In-depth product knowledge and strong customer service background,suregifts.com.ng,https://ng.indeed.com/q-customer-success-l-lagos-jobs.html
Business Analyst,Full-time,Tezza Business Solutions Limited,Lagos,Not disclosed,Gather and analyze business requirements for technology and financial-services projects.,"Bachelor's Degree in Business Administration, Computer Science, Information Systems or related field; 2-3 years' experience as a Business Analyst, preferably in tech or financial services",Not publicly listed,https://www.hotnigerianjobs.com/field/216/
HR Executive,Full-time,Structured Resource Business Limited,"Ikoyi, Lagos","N300,000 - N350,000/month",Support human resources operations and processes for the organization.,"Bachelor's Degree in Human Resources, Business Administration or related field; 4+ years HR experience preferred",Not publicly listed,https://www.hotnigerianjobs.com/field/233/
Cybersecurity Analyst,Full-time,Access Bank Plc,Lagos,Not disclosed,Monitor and protect banking network infrastructure against security threats.,"Bachelor's Degree in Computer Science, Information Security or related field; 3-6 years relevant experience",accessbankplc.com,https://www.hotnigerianjobs.com/role/449/
Content Writer,Full-time,Luchys Luxe,"Lekki Phase 1, Lagos",Not disclosed,Create written and content-marketing material for the brand.,Relevant qualifications with proven content-writing work experience,Not publicly listed,https://www.hotnigerianjobs.com/location/937/
Graphic Designer,Full-time,School Recruitment Network,"Gwarimpa, Abuja","N250,000 - N400,000/month",Produce motion and graphic design assets for client campaigns.,"OND qualification, under 27 years of age, 1-4 years of proven graphic design experience",Not publicly listed,https://www.hotnigerianjobs.com/role/394/
AI Engineer,Full-time,M-KOPA Nigeria,Lagos,Not disclosed,Lead AI engineering initiatives supporting M-KOPA's financial-inclusion products.,"Relevant qualification in AI/ML, Computer Science or related field; senior-level experience leading AI engineering work",m-kopa.com,https://www.hotnigerianjobs.com/field/273/
Marketing Associate,Full-time,SENCE Limited,"Lekki, Lagos","N200,000 - N300,000/month",Manage social media presence and marketing campaigns for lifestyle and beauty clients.,"Bachelor's Degree, 4-6 years' experience in social media management; familiarity with Canva, Adobe Creative Suite or similar tools",Not publicly listed,https://www.hotnigerianjobs.com/field/217/
Sales Executive,Full-time,Runola Nigeria Limited,"Asaba, Delta State","N300,000 - N350,000/month",Grow the client base and drive sales for agricultural products.,"HND/BSc in Animal Science, Agriculture or related field; 3+ years hands-on sales experience",Not publicly listed,https://www.hotnigerianjobs.com/role/434/sales-and-marketing-jobs-in-nigeria
Project Coordinator,Full-time,Innov8 Hub,"Lugbe, Abuja",Not disclosed,Support execution and coordination of sustainability initiative projects.,Relevant qualifications in project coordination or a related field,Not publicly listed,https://www.hotnigerianjobs.com/industry/119/
IT Support,Full-time,Grandville Medical and Laser Clinic,"Lekki, Lagos","N300,000 - N400,000/month",Provide IT support services across the organization's systems and infrastructure.,Relevant IT qualifications and hands-on technical support experience,Not publicly listed,https://www.hotnigerianjobs.com/field/273/
Software Engineer,Full-time,Raptors Technologies Limited,"Sangotedo, Lagos","N200,000 - N300,000/month",Develop and maintain software products across the engineering team.,"OND, HND or Bachelor's Degree, 2-5 years of software engineering experience",Not publicly listed,https://www.hotnigerianjobs.com/field/273/
